일시,평균일강수량(mm),최다일강수량(mm)
2019-12-31,0.1,10.2
2019-12-30,0.9,3.5
2019-12-29,6.2,34.3
2019-12-28,0,1
2019-12-27,0,5.9
2019-12-26,1.1,20.8
2019-12-25,0,0.9
2019-12-24,0,2.1
2019-12-23,0.7,11.2
2019-12-22,0.1,13.6
2019-12-21,0.1,2.1
2019-12-20,0.1,2.4
2019-12-19,0,7.5
2019-12-18,0.4,9.8
2019-12-17,2.2,16
2019-12-16,0,2.7
2019-12-15,0,0.4
2019-12-14,0.4,3.7
2019-12-13,0.1,3.6
2019-12-12,0,0.4
2019-12-11,0.2,2.2
2019-12-10,0.4,6
2019-12-09,0.1,4.5
2019-12-08,0,0
2019-12-07,0,1.1
2019-12-06,0,2.9
2019-12-05,0,3.3
2019-12-04,0.1,2.6
2019-12-03,0.5,11.7
2019-12-02,0.2,4.2
2019-12-01,12.5,38
2019-11-30,0.1,12.2
2019-11-29,0,20
2019-11-28,3.1,52.4
2019-11-27,1,25.4
2019-11-26,0.5,14
2019-11-25,3.5,71.1
2019-11-24,1.2,12.4
2019-11-23,0,0.4
2019-11-22,0,
2019-11-21,0,0
2019-11-20,0,0.2
2019-11-19,0.1,3.9
2019-11-18,11.6,32.8
2019-11-17,19,92.5
2019-11-16,0.2,3.5
2019-11-15,3.6,23.4
2019-11-14,0,0.6
2019-11-13,2.8,23
2019-11-12,0,0.9
2019-11-11,1.1,18.8
2019-11-10,8.5,37.5
2019-11-09,0.1,16.1
2019-11-08,0,3.5
2019-11-07,0,0.9
2019-11-06,0,0
2019-11-05,0,0.2
2019-11-04,0.2,4.7
2019-11-03,1.5,20.5
2019-11-02,0,0
2019-11-01,0,
2019-10-31,0,
2019-10-30,0,0
2019-10-29,0.7,7
2019-10-28,0.3,5
2019-10-27,0,18.4
2019-10-26,0,0.5
2019-10-25,0.3,9.4
2019-10-24,2.3,55.7
2019-10-23,0.1,1.4
2019-10-22,0,0.8
2019-10-21,0,0
2019-10-20,0,
2019-10-19,0.2,15.9
2019-10-18,3.8,34.5
2019-10-17,0,0
2019-10-16,0,
2019-10-15,1.2,14
2019-10-14,3.4,92
2019-10-13,0,0
2019-10-12,0,0.7
2019-10-11,0,0.8
2019-10-10,0,0.7
2019-10-09,0,
2019-10-08,0.1,1.7
2019-10-07,8.6,25.6
2019-10-06,0,1
2019-10-05,3.2,57.5
2019-10-04,0.3,17
2019-10-03,28.9,310
2019-10-02,106.3,332.9
2019-10-01,9.4,58.9
2019-09-30,0.1,38.6
2019-09-29,0.1,38.3
2019-09-28,1.8,68.2
2019-09-27,1.5,73
2019-09-26,0,1
2019-09-25,0,
2019-09-24,0,
2019-09-23,0.4,61.7
2019-09-22,65.1,262.5
2019-09-21,40.1,156
2019-09-20,0,1.2
2019-09-19,0,0.5
2019-09-18,0,0
2019-09-17,0,0.1
2019-09-16,0.2,4.6
2019-09-15,0.4,14.5
2019-09-14,0.1,6.9
2019-09-13,0,0.8
2019-09-12,5.6,28.3
2019-09-11,7.4,54.8
2019-09-10,15.3,216.5
2019-09-09,8,62.9
2019-09-08,0.8,30.3
2019-09-07,12.3,100
2019-09-06,2.9,68.8
2019-09-05,22,95
2019-09-04,11.9,67.9
2019-09-03,13.1,95.9
2019-09-02,11.4,62
2019-09-01,0.8,26.1
2019-08-31,0,4.2
2019-08-30,0.2,2.9
2019-08-29,4.2,70.7
2019-08-28,0.9,93.7
2019-08-27,16.7,135.7
2019-08-26,0.1,23.9
2019-08-25,1.2,24.2
2019-08-24,0,0.5
2019-08-23,0,0.2
2019-08-22,25.2,85.5
2019-08-21,8.6,52.9
2019-08-20,0.2,7.8
2019-08-19,0.4,16.4
2019-08-18,0,25.7
2019-08-17,2.1,20.8
2019-08-16,1.9,14.7
2019-08-15,15.8,203.7
2019-08-14,1.2,32.4
2019-08-13,1.2,31.5
2019-08-12,15.5,94
2019-08-11,8,70.8
2019-08-10,0,3.1
2019-08-09,0.1,1.5
2019-08-08,5.7,71.7
2019-08-07,14.7,102.3
2019-08-06,10.9,92.3
2019-08-05,0.7,29.2
2019-08-04,0.6,16.3
2019-08-03,0.5,19.2
2019-08-02,0.1,2.6
2019-08-01,3.4,63.5
2019-07-31,6,64.4
2019-07-30,0.7,35.9
2019-07-29,0.1,5.2
2019-07-28,10.9,84.5
2019-07-27,12.1,131.1
2019-07-26,19,108.5
2019-07-25,16.3,132.8
2019-07-24,0.5,34.2
2019-07-23,0,0.5
2019-07-22,0.3,108.3
2019-07-21,20,72
2019-07-20,56.5,220.5
2019-07-19,13.9,262.7
2019-07-18,8.1,128.2
2019-07-17,3.7,28.7
2019-07-16,4.5,40
2019-07-15,8.8,144.1
2019-07-14,2.1,24
2019-07-13,1.6,57.9
2019-07-12,0.4,5.5
2019-07-11,8.5,103.6
2019-07-10,20.7,104.7
2019-07-09,0.2,6.6
2019-07-08,0.5,37.1
2019-07-07,0.2,6.5
2019-07-06,0,5.5
2019-07-05,0,5.5
2019-07-04,0,0
2019-07-03,0,13.5
2019-07-02,0,1.1
2019-07-01,0.4,15.5
2019-06-30,0,1.4
2019-06-29,31.7,119
2019-06-28,0.8,7
2019-06-27,12,147.4
2019-06-26,33.1,179.5
2019-06-25,0,1.4
2019-06-24,0.1,1.2
2019-06-23,0.3,9
2019-06-22,1,62.6
2019-06-21,1.9,22
2019-06-20,0,0
2019-06-19,0.8,15.5
2019-06-18,2.1,24.1
2019-06-17,0,0.4
2019-06-16,0.1,11.1
2019-06-15,3.8,76.4
2019-06-14,2.3,43.5
2019-06-13,0,
2019-06-12,0,0
2019-06-11,0.3,28
2019-06-10,4,26.4
2019-06-09,1.5,20.5
2019-06-08,0.1,1.7
2019-06-07,24.2,93.9
2019-06-06,20.7,98.5
2019-06-05,0,0
2019-06-04,0,1.4
2019-06-03,0,1.3
2019-06-02,0,
2019-06-01,0,
2019-05-31,0.8,4.3
2019-05-30,0.1,0.8
2019-05-29,0,0
2019-05-28,0,0
2019-05-27,22.9,116.6
2019-05-26,0.1,13.1
2019-05-25,0,
2019-05-24,0,
2019-05-23,0,
2019-05-22,0,
2019-05-21,0,
2019-05-20,1.7,8.7
2019-05-19,7.2,26
2019-05-18,21.3,197.3
2019-05-17,1.7,54.4
2019-05-16,0,0
2019-05-15,0,0.5
2019-05-14,0,3.1
2019-05-13,0,3.9
2019-05-12,0,1.5
2019-05-11,0,0
2019-05-10,0,
2019-05-09,0,0
2019-05-08,0,
2019-05-07,0,0.1
2019-05-06,0.1,13
2019-05-05,0,0
2019-05-04,0,0
2019-05-03,0,
2019-05-02,0,
2019-05-01,0,2.9
2019-04-30,0.1,1.4
2019-04-29,19.1,54.2
2019-04-28,0.2,2.5
2019-04-27,0.1,1.9
2019-04-26,6.3,38.8
2019-04-25,4.5,16.4
2019-04-24,6.9,22.5
2019-04-23,5.6,38.6
2019-04-22,0,0
2019-04-21,0.1,0.8
2019-04-20,0.1,1.2
2019-04-19,0,0.4
2019-04-18,0,0
2019-04-17,0.5,9.5
2019-04-16,0,1.9
2019-04-15,0,
2019-04-14,0.8,6.2
2019-04-13,0,
2019-04-12,0.1,9.5
2019-04-11,0,0.2
2019-04-10,8.5,32.2
2019-04-09,23.2,56.3
2019-04-08,0,
2019-04-07,2.8,28.7
2019-04-06,0.6,13.5
2019-04-05,0,0.1
2019-04-04,0,
2019-04-03,0,6.5
2019-04-02,0,3.9
2019-04-01,0,3.9
2019-03-31,0.2,12
2019-03-30,3,8
2019-03-29,0,24.6
2019-03-28,0.6,12.9
2019-03-27,0.1,3.3
2019-03-26,0,0
2019-03-25,0,
2019-03-24,0,0
2019-03-23,1.4,6.9
2019-03-22,0,0
2019-03-21,2.1,9
2019-03-20,16.1,53.1
2019-03-19,0,0
2019-03-18,0,8.8
2019-03-17,0,7.1
2019-03-16,0.2,7.8
2019-03-15,3.3,17.5
2019-03-14,0,0.7
2019-03-13,0,0.6
2019-03-12,0.9,5.5
2019-03-11,1.1,12.2
2019-03-10,7.9,43.5
2019-03-09,0.3,18.4
2019-03-08,0,
2019-03-07,0.5,9.5
2019-03-06,1,11.3
2019-03-05,0,1.1
2019-03-04,0,2
2019-03-03,0,6.9
2019-03-02,0,2
2019-03-01,0,
2019-02-28,0.1,1.3
2019-02-27,0.4,4.6
2019-02-26,0,0.1
2019-02-25,0,
2019-02-24,0,
2019-02-23,0,0.4
2019-02-22,0,1.7
2019-02-21,0,
2019-02-20,0,0.3
2019-02-19,16.3,49.5
2019-02-18,0.1,4.7
2019-02-17,0,0
2019-02-16,0.1,5.3
2019-02-15,0.4,4.4
2019-02-14,0.1,3.3
2019-02-13,0,5.4
2019-02-12,0,0.2
2019-02-11,0,5.5
2019-02-10,0,5.6
2019-02-09,0,12.7
2019-02-08,0,2.3
2019-02-07,0.5,9.3
2019-02-06,0,0.2
2019-02-05,0,
2019-02-04,0,0.1
2019-02-03,12.8,33.5
2019-02-02,0,1
2019-02-01,0,1
2019-01-31,4.9,17.9
2019-01-30,0,0.3
2019-01-29,0,0
2019-01-28,0.2,4
2019-01-27,0,0
2019-01-26,0,0.3
2019-01-25,0,16.5
2019-01-24,0,
2019-01-23,0,
2019-01-22,0,0
2019-01-21,0,0.4
2019-01-20,0.1,1.9
2019-01-19,0.2,2.6
2019-01-18,0,0
2019-01-17,0,0.3
2019-01-16,0,0.9
2019-01-15,0.1,1.9
2019-01-14,0,2.4
2019-01-13,0,5.8
2019-01-12,2.4,12.6
2019-01-11,0,2.2
2019-01-10,0,0.3
2019-01-09,0,2.2
2019-01-08,0,0.6
2019-01-07,0,0
2019-01-06,0,0.8
2019-01-05,0,5.9
2019-01-04,0,3.2
2019-01-03,0,
2019-01-02,0,0
2019-01-01,0.1,1.9
