일시,평균기온(℃),평균최고기온(℃),최고기온(℃),평균최저기온(℃),최저기온(℃)
2019-12-31,-3.8,0.4,10.7,-6.7,-14.4
2019-12-30,5,9.8,15.5,0.1,-7.5
2019-12-29,2.6,6.6,17.3,-2.4,-8.9
2019-12-28,0.5,7.5,11.6,-4.9,-11.7
2019-12-27,0.6,5.1,9.6,-3.2,-11.3
2019-12-26,3.7,6.1,13.9,1.4,-4.9
2019-12-25,3.5,10.9,16.3,-3.2,-10.4
2019-12-24,2.1,9,14.4,-2,-10.9
2019-12-23,3.8,8.7,15.3,-1,-6.6
2019-12-22,3,9,12.5,-1.1,-6.9
2019-12-21,0.2,4.7,11.9,-4.1,-10
2019-12-20,1,5.4,11.9,-3,-9
2019-12-19,2.2,6.8,13.1,-1.3,-7.9
2019-12-18,4.6,8.5,15.7,1.8,-4.6
2019-12-17,8.3,12.5,19.8,3.9,-1.6
2019-12-16,7.1,14.1,18.8,1,-4.5
2019-12-15,4.7,12.4,17.8,-1.5,-10.2
2019-12-14,4,9,17.2,-0.1,-6
2019-12-13,1.6,8.1,15.7,-4.6,-9.9
2019-12-12,1.7,6.1,12.4,-2.4,-8.7
2019-12-11,6.9,13.3,19.2,1.8,-4.9
2019-12-10,6.5,13.4,19,1.5,-5.6
2019-12-09,3,10.1,15.7,-3.6,-9.6
2019-12-08,1.4,8,13.1,-3.3,-13.9
2019-12-07,0.1,6.1,11.7,-6.5,-12.1
2019-12-06,-3.2,2.3,10.4,-7.7,-15.6
2019-12-05,0.2,4.8,13.2,-4.4,-14.5
2019-12-04,4.2,9.5,15.5,-0.3,-8
2019-12-03,2.4,6.8,11.9,-2.7,-9.2
2019-12-02,3.6,6.8,14.9,0.2,-7.2
2019-12-01,6.3,8.1,17.5,4.7,-0.3
2019-11-30,5.4,12.7,18,-1.5,-8.2
2019-11-29,3.4,9.9,16,-1.2,-7.5
2019-11-28,4.7,10.4,16.9,0.3,-4.3
2019-11-27,6.2,9.7,15.4,2.6,-4
2019-11-26,7.7,13.5,17.2,2.6,-4
2019-11-25,5.9,10.6,17.8,3.3,-4.1
2019-11-24,12.8,19.6,23.8,7.4,1.3
2019-11-23,10.8,18.2,22.4,4.7,-4.6
2019-11-22,9.3,17.3,22.3,2.8,-3.4
2019-11-21,5,12.2,18.7,-2.6,-9.7
2019-11-20,2.6,8.9,14.7,-2.1,-9.2
2019-11-19,3.7,7,13.4,0.6,-6.1
2019-11-18,8.7,16.4,22.7,3.4,-4.7
2019-11-17,11,15.4,24.3,6.1,-2
2019-11-16,10.3,17.1,21.7,5.1,-0.7
2019-11-15,7.2,14,18.1,-1,-7.1
2019-11-14,3.7,8.6,15.2,-0.7,-6.5
2019-11-13,8.9,13.9,19.1,3.7,-2.5
2019-11-12,9.7,16.6,19.6,4.8,-1.8
2019-11-11,12.1,16.9,20.1,7.8,2.3
2019-11-10,9.4,15.8,21.3,3,-3.8
2019-11-09,8.5,17.3,20.5,1.6,-4.6
2019-11-08,7.8,15.3,20.1,2.3,-5
2019-11-07,10.8,16.9,20.8,5.7,-1.3
2019-11-06,11.3,18.6,21.9,5.5,-1.8
2019-11-05,11.7,19.1,23.3,6,-1.3
2019-11-04,12.5,18.9,21.3,7.6,0.6
2019-11-03,13.8,20.5,22.8,9.4,2.7
2019-11-02,13.5,19.9,23.2,7.7,0.4
2019-11-01,14.3,21.8,24.7,9,2.9
2019-10-31,13.3,20.7,23,6.1,-0.1
2019-10-30,11.3,18.3,22.7,5.7,-1.2
2019-10-29,13.2,18.8,23.1,8,2.7
2019-10-28,11.5,18.5,21.6,4.5,-1.9
2019-10-27,10.7,17.4,20.5,5.4,-1.5
2019-10-26,12.8,17,22.6,8.9,0.6
2019-10-25,16.9,22.7,25.6,12,7.3
2019-10-24,17.4,22.1,25.2,13.6,9.5
2019-10-23,16,20,23.2,12.1,4.1
2019-10-22,15.9,22.9,24.7,10.3,3.3
2019-10-21,15.3,23,25,9.5,1.1
2019-10-20,15.1,22.6,24.9,10.4,3.9
2019-10-19,16.2,22.6,25.3,11.6,7.2
2019-10-18,15.3,19.5,23.4,11,5.8
2019-10-17,14,19.9,23.6,9.5,2.2
2019-10-16,13.3,20.4,22.8,8.1,3
2019-10-15,13.3,18.8,22.5,8.5,3.3
2019-10-14,14.7,21.3,25.6,9.3,5.1
2019-10-13,15.9,22.3,25.4,10.6,4.7
2019-10-12,18,23.4,26.5,13.5,8.9
2019-10-11,17.9,24.8,27.8,11.9,4.1
2019-10-10,14.9,21.6,26.2,8.6,2.7
2019-10-09,13.3,21.2,24.3,6.8,0.3
2019-10-08,15.9,22,24.6,10.3,2.9
2019-10-07,15.5,17.7,25.3,13.8,6.1
2019-10-06,17.3,21.8,26,13.4,5.4
2019-10-05,18.9,22.6,28.5,15.5,8.3
2019-10-04,21.2,26.9,29.5,17.1,11.6
2019-10-03,22,26.3,29.9,18.7,14.3
2019-10-02,21.1,22.9,27.3,19.8,14.4
2019-10-01,21.5,24.9,29.9,18.4,8.9
2019-09-30,21.6,28.2,30.9,16.4,6.6
2019-09-29,22.2,28.5,31.5,18,10.8
2019-09-28,22.5,27.4,29.8,19.3,12.6
2019-09-27,21.4,26.9,29.5,16.8,7
2019-09-26,20.4,26.2,29.5,16,9.3
2019-09-25,18.4,24.8,27.4,12.6,5.2
2019-09-24,17.8,25,27.4,12.6,4.4
2019-09-23,18.1,22.5,25.4,14.4,6.5
2019-09-22,17.5,19.1,24.1,16.1,10.8
2019-09-21,17.8,20.7,23.2,16,11.1
2019-09-20,19.3,23.7,28.2,15,7.1
2019-09-19,19.2,25.6,27.8,13.5,8.2
2019-09-18,21,27.9,31.7,15.4,10.9
2019-09-17,21.3,27.8,30.7,15.5,6.3
2019-09-16,22.4,28.2,30.5,18.1,8.5
2019-09-15,23.4,28.8,31.7,19.7,12.1
2019-09-14,22.3,27.5,31.7,17.4,12.4
2019-09-13,21.7,27.4,29.7,17.1,10.3
2019-09-12,20.8,23.5,29.4,18.6,12.5
2019-09-11,23.9,27.8,32.9,21.5,14.8
2019-09-10,25.4,29.6,33,22.5,16.6
2019-09-09,24.7,28.3,34.2,22.4,18
2019-09-08,24.6,28.5,32,21.8,18.2
2019-09-07,25.8,29.1,33.4,22.6,20
2019-09-06,25.4,28.9,31.5,22.1,18.3
2019-09-05,24.2,29,33,21.8,18.5
2019-09-04,23.4,26.2,30.4,21.4,16.7
2019-09-03,22.1,24.8,28.1,20.1,14.6
2019-09-02,21.6,25.1,29.8,19.1,13.6
2019-09-01,22.1,26.8,28.7,18,12
2019-08-31,22.6,28.5,30.6,17.6,12.4
2019-08-30,22.9,28.1,31,18.6,14
2019-08-29,22.4,25.7,30.4,19.9,14.6
2019-08-28,23.8,27.7,30.7,21,14.3
2019-08-27,22.7,25.4,31,20.5,14.1
2019-08-26,24.3,30,32.2,19,13.1
2019-08-25,23.2,28.7,31.2,18.9,12.5
2019-08-24,22.8,27.6,30.3,18.9,13.7
2019-08-23,24.7,29.5,32.5,20.8,14.1
2019-08-22,25.8,30.3,33,23,19.1
2019-08-21,25.8,30.1,33,22.5,15.6
2019-08-20,26,30.9,33.2,21.7,13.1
2019-08-19,25.1,30.8,32.9,20,12.3
2019-08-18,25.3,30.8,34.3,21.1,14.5
2019-08-17,26.2,31,35.1,22,17.7
2019-08-16,26.4,30.7,34.3,23.3,19.3
2019-08-15,26.1,29.1,33.3,24.2,20.2
2019-08-14,28.6,33,36.4,24.7,20.3
2019-08-13,28.5,33.7,36.9,24.3,18.5
2019-08-12,27.7,31,35.7,25.3,21.1
2019-08-11,28.3,32.3,36.2,24.8,20.1
2019-08-10,28.6,33.4,37.1,24.5,18.6
2019-08-09,28.3,33.6,36.1,24.2,19.2
2019-08-08,27.6,33.2,36.1,24.2,18.8
2019-08-07,27.2,32.1,35.6,23.8,20.7
2019-08-06,27.6,32.1,36.8,23.8,16.8
2019-08-05,28.8,34.6,37.6,24.2,18.6
2019-08-04,28.4,34.2,36.9,23.9,18.1
2019-08-03,28.3,34.1,36.7,24.2,18.2
2019-08-02,28.8,34.2,37.5,24.3,19.2
2019-08-01,28.4,33.1,36.7,24.6,21.1
2019-07-31,28.4,32.2,36.5,25.2,22.3
2019-07-30,28.4,32.5,36,24.7,20.6
2019-07-29,27.8,32.1,35.2,24.3,21.6
2019-07-28,26.9,29.9,34.6,25,21.9
2019-07-27,27.1,30.5,35.2,24.6,19.2
2019-07-26,26.5,29.2,34.3,24.7,19.8
2019-07-25,26.6,29.2,34,24.8,20.5
2019-07-24,26.8,29.7,34.2,24.8,20.3
2019-07-23,27.9,32.8,36.1,24.2,20.1
2019-07-22,27,31.6,35,23.2,19.8
2019-07-21,24.8,27.8,31.3,22.6,18.8
2019-07-20,24.8,27.1,32.2,23.2,19.2
2019-07-19,25.2,28.5,35.4,22.1,15.8
2019-07-18,24.3,27.8,33.4,21.4,17.8
2019-07-17,24.4,28.8,32.2,20.7,16.7
2019-07-16,23.8,28.7,31.2,20.3,16.8
2019-07-15,23.2,27.1,30.2,20.6,16.5
2019-07-14,23.9,29.1,32.6,20.2,13.8
2019-07-13,23.3,27.8,31.2,20.1,14.8
2019-07-12,23.2,27.9,32,19.6,15
2019-07-11,22.2,25.6,29.8,19.7,15.5
2019-07-10,20.9,23.3,27.3,19.2,13.5
2019-07-09,22.6,27,30.5,18.4,12.4
2019-07-08,22.6,27.3,31,18.9,13.9
2019-07-07,23.5,28.2,32.5,19.8,14.3
2019-07-06,25.1,31.3,36.1,19,13.5
2019-07-05,25.1,32,36.9,19.1,13
2019-07-04,24.4,31.2,35.5,18.4,13.6
2019-07-03,23.1,28.5,31.4,18.4,11.8
2019-07-02,23.4,29.2,32.1,18.5,12.8
2019-07-01,23.2,26.9,31.3,19.9,16.2
2019-06-30,23.8,28.5,33.3,20.1,15
2019-06-29,21.6,24.1,29.8,19.9,16.2
2019-06-28,23.6,28.1,31.9,20.7,12.3
2019-06-27,23.8,28.8,33.1,20.6,14.3
2019-06-26,21.1,24.4,29.5,18,12.2
2019-06-25,23.6,30.4,33.9,17.1,10.8
2019-06-24,22.5,28.4,32.4,17.2,9.6
2019-06-23,21.6,27.3,31.1,16.4,7.6
2019-06-22,21.7,27.1,31,17.4,9.1
2019-06-21,22.8,28.7,33.8,18.5,12
2019-06-20,23.4,29.2,34,18.2,11.1
2019-06-19,22.2,27.5,30.8,18.3,15.3
2019-06-18,21.3,26.2,30.6,17.3,13.5
2019-06-17,21.3,26.8,30.5,16.8,11.8
2019-06-16,20.2,26.1,28.7,15.2,11.1
2019-06-15,20.4,26.4,29.5,16.1,9
2019-06-14,20.2,24.7,29.1,16.8,10.8
2019-06-13,21.2,28,32.2,14.7,6.9
2019-06-12,19.7,25.9,29.9,14.3,4.3
2019-06-11,18.8,23.8,26.4,14.8,6.9
2019-06-10,18.3,22.2,24.8,15.3,10.1
2019-06-09,19.7,25,29.6,16.1,10.6
2019-06-08,20.1,25.5,29.2,15.5,9.5
2019-06-07,18.6,21.2,25.3,16.6,12
2019-06-06,21.1,26.9,32.8,16.9,13.1
2019-06-05,22.9,29.9,35.7,16.8,11.4
2019-06-04,23.1,30.3,35.5,16.1,12
2019-06-03,22,29.7,33.2,14,7.4
2019-06-02,20.6,27.8,31,13.6,6.5
2019-06-01,18.9,25.3,29.4,12.4,6.7
2019-05-31,18.6,24,27.6,14.4,10.1
2019-05-30,20.5,27.6,31.7,12.7,6.5
2019-05-29,19.7,27.4,31.1,11.1,5.6
2019-05-28,17.8,23.8,27.9,12.6,7.5
2019-05-27,18.6,22.1,26.7,15.4,10.1
2019-05-26,23.2,30.1,34.8,16.4,10.8
2019-05-25,23.3,30.1,35.6,16.9,11.5
2019-05-24,22.9,31.6,35.6,14,6
2019-05-23,20.9,29,31.9,12.8,5.8
2019-05-22,19.2,27.3,30.1,10.3,4
2019-05-21,17,24.2,26.5,9,3.3
2019-05-20,17,21,24.1,11.9,6.3
2019-05-19,19.5,22.6,28.1,16.9,11.1
2019-05-18,18.8,21.8,27.6,16.4,12.8
2019-05-17,21.3,27.3,30.5,15,7.5
2019-05-16,21.4,28.9,31.5,14.6,9.6
2019-05-15,20.3,27.3,30.6,14.3,5.6
2019-05-14,19.8,26.6,30.1,13.9,7.2
2019-05-13,17.9,24.5,28.8,11.4,3.1
2019-05-12,18.4,26,30.1,11.1,2.8
2019-05-11,18.5,27.3,31.4,10.2,4
2019-05-10,17.6,26.7,30.1,8.7,2.6
2019-05-09,17.1,24.1,28.2,11.1,5.8
2019-05-08,15.7,22.9,26.8,7.2,0.9
2019-05-07,13.9,21.8,25,5.2,-3.6
2019-05-06,14,20.3,25.2,8.3,-1
2019-05-05,18.9,27.3,30.4,10.9,5.4
2019-05-04,17.6,26.5,29.8,8.8,3.2
2019-05-03,16.7,25.9,29.4,7.6,1.1
2019-05-02,16,24.1,27.6,8.3,2.6
2019-05-01,15.4,22.1,26,10.1,4.5
2019-04-30,14.6,20.5,25,9.8,0.6
2019-04-29,11.3,14.3,20.6,8,1.3
2019-04-28,12.1,17.1,20.6,8.4,2.4
2019-04-27,11.4,17.8,19.9,4.9,-1
2019-04-26,9.4,11.6,17.7,7.6,1.2
2019-04-25,13.5,17,21.4,10.2,2.2
2019-04-24,17.3,22,27.5,14.2,9.6
2019-04-23,16.8,21.8,28.2,12.1,5.4
2019-04-22,17.6,25.6,29.8,10.2,5
2019-04-21,16.5,22.1,26.5,12,6.7
2019-04-20,14.7,21.6,25.5,7.7,-4.1
2019-04-19,12.8,17.6,21.7,9.5,-1.3
2019-04-18,15.3,21.6,27.4,8.4,2.6
2019-04-17,15.5,23,26.2,8.7,1
2019-04-16,14.2,23.3,26.6,4.3,-1.2
2019-04-15,11.1,19.6,24.1,2.3,-2.9
2019-04-14,10.2,14.7,20.2,6.3,0.9
2019-04-13,11.6,18.9,21,4,-1.4
2019-04-12,10.7,17.7,20.2,4.1,-4.2
2019-04-11,8.8,14.3,16.6,3.3,-5
2019-04-10,7.2,9.9,16.4,4.5,-1.8
2019-04-09,9.3,15.4,19.9,4.8,-4.5
2019-04-08,11.8,19.1,23.6,5.1,-2.8
2019-04-07,12.5,18.4,22.2,7.4,-0.5
2019-04-06,11.6,19,23.9,3.4,-3.2
2019-04-05,11.7,19,23.4,5.2,-2
2019-04-04,9.9,17.9,21.9,1.3,-5.9
2019-04-03,7.4,14.5,17.4,-0.4,-6.8
2019-04-02,6.7,13.4,17.4,-0.4,-6.5
2019-04-01,5.7,11.4,14.7,-0.1,-8.4
2019-03-31,5.4,9.2,13.8,2.3,-3.8
2019-03-30,7.2,12.2,21.1,3.7,-2.8
2019-03-29,10.6,17,21,5,-1.3
2019-03-28,10.6,16.1,22.5,6.6,-1
2019-03-27,12.8,19.9,25.1,4.8,-1.9
2019-03-26,10.5,18.7,21.9,3.2,-2.6
2019-03-25,7.2,13.8,18,0.4,-4.9
2019-03-24,4.7,11.3,14.2,-2.1,-6.4
2019-03-23,4.2,10.3,14.3,-0.3,-7
2019-03-22,5.2,10.5,16.4,1.6,-5.4
2019-03-21,9.8,15,22.7,4.5,-1.5
2019-03-20,11.4,17.2,21.5,5.3,-0.4
2019-03-19,10.7,19,23.3,2.2,-3.1
2019-03-18,7.5,15,18.7,-0.7,-5.9
2019-03-17,6.6,13.1,17.5,1.1,-4.6
2019-03-16,5.8,11.1,14.4,1.4,-7.6
2019-03-15,5.8,12.3,16.4,1,-3.9
2019-03-14,5.2,11.8,14.5,-2.4,-8
2019-03-13,3.9,9.4,12.8,-1.5,-7.5
2019-03-12,5.8,11.9,16.5,0.9,-5.5
