"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 12월 30일","9,450","9,380","9,460","9,300","7.76K","0.75%"
"2019년 12월 27일","9,380","9,230","9,420","9,200","13.70K","1.08%"
"2019년 12월 26일","9,280","9,150","9,390","9,090","27.02K","1.42%"
"2019년 12월 24일","9,150","9,180","9,180","9,080","10.86K","0.00%"
"2019년 12월 23일","9,150","9,210","9,210","9,000","42.65K","0.22%"
"2019년 12월 20일","9,130","9,290","9,290","9,130","60.73K","-2.25%"
"2019년 12월 19일","9,340","9,300","9,390","9,250","13.86K","0.11%"
"2019년 12월 18일","9,330","9,350","9,380","9,110","46.44K","0.21%"
"2019년 12월 17일","9,310","9,220","9,370","9,100","50.59K","0.98%"
"2019년 12월 16일","9,220","9,360","9,400","9,110","37.43K","-1.07%"
"2019년 12월 13일","9,320","9,570","9,600","9,320","39.77K","-2.20%"
"2019년 12월 12일","9,530","9,650","9,760","9,460","18.95K","-1.24%"
"2019년 12월 11일","9,650","9,520","9,660","9,450","6.09K","1.37%"
"2019년 12월 10일","9,520","9,610","9,680","9,410","6.15K","-0.94%"
"2019년 12월 09일","9,610","9,590","9,720","9,500","6.83K","0.21%"
"2019년 12월 06일","9,590","9,650","9,730","9,580","5.94K","-0.62%"
"2019년 12월 05일","9,650","9,670","9,750","9,220","46.97K","-0.21%"
"2019년 12월 04일","9,670","9,880","9,880","9,610","13.35K","-1.23%"
"2019년 12월 03일","9,790","9,780","9,840","9,510","20.67K","0.20%"
"2019년 12월 02일","9,770","9,850","9,940","9,750","13.44K","-0.81%"
"2019년 11월 29일","9,850","9,950","9,950","9,800","6.39K","-0.40%"
"2019년 11월 28일","9,890","9,790","9,890","9,780","7.40K","1.02%"
"2019년 11월 27일","9,790","9,780","9,830","9,720","7.74K","0.10%"
"2019년 11월 26일","9,780","9,870","9,950","9,760","20.91K","-0.91%"
"2019년 11월 25일","9,870","9,900","9,950","9,850","4.64K","-0.30%"
"2019년 11월 22일","9,900","9,800","9,920","9,720","9.17K","0.71%"
"2019년 11월 21일","9,830","10,050","10,050","9,720","12.55K","-1.70%"
"2019년 11월 20일","10,000","10,000","10,100","9,950","22.78K","0.00%"
"2019년 11월 19일","10,000","10,250","10,250","9,960","31.71K","-2.44%"
"2019년 11월 18일","10,250","10,800","10,800","10,150","29.26K","-4.65%"
"2019년 11월 15일","10,750","10,400","10,750","10,350","24.35K","3.37%"
"2019년 11월 14일","10,400","10,000","10,800","10,000","100.06K","4.00%"
"2019년 11월 13일","10,000","10,100","10,250","9,920","76.18K","-0.99%"
